"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000000;2","","Hangup","","2014-03-06 17:39:51",,"2014-03-06 17:39:51",0,0,"NO ANSWER","DOCUMENTATION","1394127591.1",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000000;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:51",,"2014-03-06 17:39:51",0,0,"NO ANSWER","DOCUMENTATION","1394127591.0",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000001;2","","Hangup","","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.3",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000001;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.2",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000002;2","","Hangup","","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.5",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000002;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.4",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000003;2","","Hangup","","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.7",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000003;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:52",,"2014-03-06 17:39:52",0,0,"NO ANSWER","DOCUMENTATION","1394127592.6",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000004;2","","Hangup","","2014-03-06 17:39:53",,"2014-03-06 17:39:54",1,0,"NO ANSWER","DOCUMENTATION","1394127593.9",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000004;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:54",,"2014-03-06 17:39:54",0,0,"NO ANSWER","DOCUMENTATION","1394127593.8",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000005;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:54",,"2014-03-06 17:39:54",0,0,"NO ANSWER","DOCUMENTATION","1394127594.10",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000005;2","","Hangup","","2014-03-06 17:39:54",,"2014-03-06 17:39:54",0,0,"NO ANSWER","DOCUMENTATION","1394127594.11",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000006;2","","Hangup","","2014-03-06 17:39:54",,"2014-03-06 17:39:54",0,0,"NO ANSWER","DOCUMENTATION","1394127594.13",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000006;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:54",,"2014-03-06 17:39:54",0,0,"NO ANSWER","DOCUMENTATION","1394127594.12",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000007;2","","Hangup","","2014-03-06 17:39:55",,"2014-03-06 17:39:55",0,0,"NO ANSWER","DOCUMENTATION","1394127595.15",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000007;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:55",,"2014-03-06 17:39:55",0,0,"NO ANSWER","DOCUMENTATION","1394127595.14",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000008;2","","Hangup","","2014-03-06 17:39:55",,"2014-03-06 17:39:55",0,0,"NO ANSWER","DOCUMENTATION","1394127595.17",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000008;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:55",,"2014-03-06 17:39:55",0,0,"NO ANSWER","DOCUMENTATION","1394127595.16",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000009;2","","Hangup","","2014-03-06 17:39:56",,"2014-03-06 17:39:56",0,0,"NO ANSWER","DOCUMENTATION","1394127596.19",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-00000009;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:56",,"2014-03-06 17:39:56",0,0,"NO ANSWER","DOCUMENTATION","1394127596.18",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000a;2","","Hangup","","2014-03-06 17:39:56",,"2014-03-06 17:39:56",0,0,"NO ANSWER","DOCUMENTATION","1394127596.21",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000a;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:56",,"2014-03-06 17:39:56",0,0,"NO ANSWER","DOCUMENTATION","1394127596.20",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000b;2","","Hangup","","2014-03-06 17:39:57",,"2014-03-06 17:39:57",0,0,"NO ANSWER","DOCUMENTATION","1394127597.23",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000b;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:57",,"2014-03-06 17:39:57",0,0,"NO ANSWER","DOCUMENTATION","1394127597.22",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000c;2","","Hangup","","2014-03-06 17:39:57",,"2014-03-06 17:39:57",0,0,"NO ANSWER","DOCUMENTATION","1394127597.25",""
"","","executecommand","asterisk_guitools","","Local/executecommand@asterisk_guitools-0000000c;1","","Dial","Local/executecommand@asterisk_guitools","2014-03-06 17:39:57",,"2014-03-06 17:39:57",0,0,"NO ANSWER","DOCUMENTATION","1394127597.24",""
"","551234578","4002","incomming-calls-f1-playback","""""Kebab""-551234578"" <551234578>","DAHDI/i5/551234578-1","","Playback","/var/lib/asterisk/sounds/custom/rolling81","2014-03-06 17:43:46","2014-03-06 17:43:46","2014-03-06 17:43:51",5,5,"ANSWERED","DOCUMENTATION","1394127826.26",""
"","551234578","4002","incomming-calls-f1-playback","""""Kebab""-551234578"" <551234578>","DAHDI/i5/551234578-2","","Playback","/var/lib/asterisk/sounds/custom/rolling81","2014-03-06 17:45:49","2014-03-06 17:45:49","2014-03-06 17:48:49",180,180,"ANSWERED","DOCUMENTATION","1394127949.27",""
"","551234578","4002","incomming-calls-f1-playback","""""Kebab""-551234578"" <551234578>","DAHDI/i5/551234578-3","","Playback","/var/lib/asterisk/sounds/custom/rolling81","2014-03-07 07:17:13","2014-03-07 07:17:13","2014-03-07 07:20:14",181,181,"ANSWERED","DOCUMENTATION","1394176633.28",""
"","551234578","4002","incomming-calls-f1-playback","""""Kebab""-551234578"" <551234578>","DAHDI/i5/551234578-4","","Playback","/var/lib/asterisk/sounds/custom/rolling81","2014-03-07 10:31:19","2014-03-07 10:31:19","2014-03-07 10:31:36",17,17,"ANSWERED","DOCUMENTATION","1394188279.29",""
